document_id,file_name,title,document_type,primary_topic,summary
eagle-knowledge-base/approved/agents/00-supervisor.txt,00-supervisor.txt,RH-SUPERVISOR: EAGLE Main Acquisition Assistant Role Definition and Operational Guidance,guidance,acquisition_packages,"Internal operational document defining the role, philosophy, and workflows for EAGLE's supervisor-core agent serving as a Contract Specialist for NIH acquisition professionals. Establishes action-oriented approach to acquisition planning, document generation, and specialist coordination across FAR thresholds from micro-purchases through major acquisitions."
eagle-knowledge-base/approved/agents/01-policy-supervisor.txt,01-policy-supervisor.txt,RH-Policy-Supervisor: Policy Staff Interface & Request Router,policy,general,"Internal operational document defining the Policy Supervisor role as an orchestrator interface for NIH policy staff. Routes questions to RH-Policy-Librarian (KB quality/curation) or RH-Policy-Analyst (strategic analysis/regulatory monitoring), synthesizes responses into actionable recommendations, and maintains conversation context."
eagle-knowledge-base/approved/supervisor-core/essential-templates/01.C_NCI_OA_Task_Order_Acquisition_Plan.docx,01.C_NCI_OA_Task_Order_Acquisition_Plan.docx,Task Order Acquisition Plan (TOAP) Template - National Cancer Institute,template,acquisition_packages,"This is a comprehensive template for preparing Task Order Acquisition Plans (TOAP) for the National Cancer Institute Office of Acquisitions, replacing the Task Order Request Form (TORF) for orders above the Simplified Acquisition Threshold. The template provides detailed guidance on acquisition planning requirements, including background and objectives, plan of action, source selection, contract type selection, and compliance considerations such as supply chain risk management, Section 508 accessibility, and security requirements."
eagle-knowledge-base/approved/agents/02-legal.txt,02-legal.txt,The Legal Counselor - Federal Acquisition Law Expert Reference,reference,legal,"A reference document defining the role, expertise, and operational guidelines for The Legal Counselor, an expert resource in federal acquisition law, GAO protest decisions, fiscal law, and litigation risk assessment. Provides framework for legal analysis, compliance review, and protest prevention in federal contracting."
eagle-knowledge-base/approved/agents/03-tech.txt,03-tech.txt,CO-COR Liaison & Technical Translator Role Definition,reference,compliance,"This document defines the role and expertise of a CO-COR Liaison & Technical Translator who bridges technical requirements with regulatory compliance in federal acquisition. The translator facilitates communication between Contracting Officers Representatives (CORs) and contracting officers, converting technical jargon into acquisition-compliant language while ensuring requirements are specific, measurable, and achievable."
eagle-knowledge-base/approved/agents/04-market.txt,04-market.txt,Market Intelligence & Small Business Advocate - Role Definition and Expertise Framework,reference,market_research,"This document defines the role, expertise areas, and operational guidelines for a Market Intelligence & Small Business Advocate persona. It outlines capabilities in market research, vendor analysis, small business programs, pricing benchmarking, and acquisition strategy recommendations."
eagle-knowledge-base/approved/agents/05-public.txt,05-public.txt,Public Interest Guardian Role Definition and Expertise Framework,guidance,compliance,"This document defines the Public Interest Guardian role within federal acquisition, establishing expertise areas, personality traits, and responsibilities focused on ensuring fair competition, transparency, and public accountability. The role emphasizes ethical procurement practices, taxpayer stewardship, and mitigation of acquisition integrity risks."
eagle-knowledge-base/approved/agents/06-policy-librarian.txt,06-policy-librarian.txt,RH-POLICY-LIBRARIAN: Knowledge Base Curator & Quality Control Role,policy,compliance,"Role definition for EAGLE system's KB curator responsible for detecting contradictions, version conflicts, gaps, staleness, redundancies, and citation errors in the operational knowledge base. Serves NIH policy staff through six detection capabilities and four audit modes to ensure KB accuracy, consistency, currency, and completeness."
eagle-knowledge-base/approved/agents/07-policy-analyst.txt,07-policy-analyst.txt,RH-Policy-Analyst Role Definition and Strategic Analysis Framework,policy,compliance,"This document defines the RH-Policy-Analyst role as a strategic intelligence specialist for the EAGLE acquisition system at NIH. It outlines five core capabilities: regulatory monitoring and interpretation, performance pattern analysis, training gap identification, impact assessment, and strategic recommendations. The role focuses on monitoring the regulatory environment, analyzing CO review patterns for systemic issues, and providing evidence-based recommendations for EAGLE and process improvements."
eagle-knowledge-base/approved/supervisor-core/essential-templates/1.a. AP Under SAT.docx,1.a. AP Under SAT.docx,Acquisition Plan Under Simplified Acquisition Threshold (SAT),template,acquisition_packages,"This document is an acquisition planning template for procurements under the Simplified Acquisition Threshold, designed to be completed in consultation with Purchasing Agents and Contract Specialists/Officers. It provides guidance on structuring and documenting acquisition strategies for lower-dollar federal contracts."
eagle-knowledge-base/approved/supervisor-core/essential-templates/1.b AP Above SAT.docx,1.b AP Above SAT.docx,HHS Acquisition Plan (AP) Template - Above Simplified Acquisition Threshold,template,acquisition_packages,"This is the Department of Health and Human Services Acquisition Plan template (revised July 2024) for completing acquisition plans required for all acquisitions above the simplified acquisition threshold. The template provides comprehensive guidance on acquisition planning requirements, including statement of need, cost analysis, competition strategy, contract type selection, and risk management, all aligned with FAR 7.1 and 7.105 requirements."
eagle-knowledge-base/approved/supervisor-core/essential-templates/3.a. SON - Products (including Equipment and Supplies).docx,3.a. SON - Products (including Equipment and Supplies).docx,"Statement of Need (SON) Template - Commercial Products, Equipment, and Supplies",template,acquisition_packages,"This is an NCI/NIH template for preparing Statements of Need (SON) for the acquisition of commercial products, equipment, and supplies on a Firm-Fixed-Price basis. The document provides instructions for describing Government requirements in terms of function, performance, and essential characteristics rather than specific brand names or vendor capabilities, and includes sections for background, objectives, technical requirements, training, delivery, warranty, and pricing."
eagle-knowledge-base/approved/supervisor-core/essential-templates/3.b. SON - Services based on Catalog Pricing.docx,3.b. SON - Services based on Catalog Pricing.docx,Statement of Need (SON) Template for Commercial Services Based on Catalog Pricing,template,acquisition_packages,"This template provides instructions for preparing a Statement of Need (SON) for acquiring commercial services based on established catalog prices under a Firm-Fixed-Price contract structure. The document outlines required sections including background, objectives, technical requirements, pricing, period of performance, and designation of a Contracting Officer's Representative or Technical Point of Contact. It emphasizes that the SON must describe Government needs in non-technical terms without specifying vendor capabilities or brand names, and includes guidance on severable versus non-severable services and contract funding limitations."
eagle-knowledge-base/approved/technical-translator/human-subjects-research/45_CFR_46_Human_Subjects_Protection_Current.txt,45_CFR_46_Human_Subjects_Protection_Current.txt,45 CFR Part 46 - Protection of Human Subjects (Common Rule),regulation,compliance,"Federal regulation establishing requirements for protection of human subjects in research conducted, supported, or regulated by federal agencies. Covers IRB review, informed consent, exempt categories, and compliance procedures applicable to all federally-funded research involving human subjects."
eagle-knowledge-base/approved/supervisor-core/checklists/5. Certification of Funding.docx,5. Certification of Funding.docx,Certification of Funding,template,funding,"This form certifies the funding source and authorization for federal acquisition requirements at the NCI. It addresses multiple funding types including Annual Appropriations, Royalty Funds, Gift Funds, CRADA Funds, and other special funding, with specific compliance certifications required for each funding category."
