Issue Type,Summary,Description,Priority,Epic,Sprint,Labels,Acceptance Criteria
Epic,EAGLE MVP - Acquisition Package Generation,"AI-powered acquisition assistance tool for NCI Office of Acquisitions. Demo by Feb 12, Working App by Feb 28.",Highest,,,eagle-mvp,
Story,Happy Path: Simple Acquisition,"User can complete a guided intake for <$15K purchase and receive document package. This is the core demo flow that must work flawlessly.",Highest,EAGLE MVP - Acquisition Package Generation,Sprint 1: Core Demo (Feb 3-12),"p0,demo,uc-01","- User enters basic acquisition info (item, timeline, funding)
- System asks clarifying questions via chat
- Document checklist updates dynamically
- User can download complete package"
Story,Word/PDF Document Export,"Generated documents download as .docx (primary) or .pdf (fallback). Critical differentiator from current text-only output.",Highest,EAGLE MVP - Acquisition Package Generation,Sprint 1: Core Demo (Feb 3-12),"p0,demo,document-gen","- SOW generates as .docx
- Acquisition Plan generates as .docx
- IGCE generates as .docx
- PDF fallback available
- Pre-signed S3 URLs for download"
Story,Dynamic Document Checklist,"Sidebar shows required documents based on dollar value and acquisition type. Some items become N/A based on thresholds.",Highest,EAGLE MVP - Acquisition Package Generation,Sprint 1: Core Demo (Feb 3-12),"p0,demo,ui","- Checklist renders in sidebar
- Items marked complete/incomplete/N/A
- Updates dynamically as user provides info
- <$15K shows minimal docs
- >$250K shows full package requirements"
Story,I Don't Know Options on All Forms,"Every form question has escape hatch - system moves on or agent assists. Prevents user analysis paralysis and abandonment.",Highest,EAGLE MVP - Acquisition Package Generation,Sprint 1: Core Demo (Feb 3-12),"p0,demo,ux","- Every question has 'I don't know' option
- Selecting it either skips question or triggers agent assistance
- Clear messaging that questions are optional
- System progresses even without all answers"
Story,Agent Streaming UI,"Real-time agent responses with color-coded agent labels. Shows which agent is responding (Supervisor, Compliance, Tech, etc.)",High,EAGLE MVP - Acquisition Package Generation,Sprint 1: Core Demo (Feb 3-12),"p1,ui,streaming","- Agent messages stream in real-time
- Color-coded by agent type
- Agent name/label visible
- Model labels shown in agent logs"
Story,Session Persistence,"Conversations saved to database, resumable across sessions. Users can return to incomplete acquisitions.",High,EAGLE MVP - Acquisition Package Generation,Sprint 1: Core Demo (Feb 3-12),"p1,backend,database","- Conversations stored in PostgreSQL
- Session ID tracked
- Can resume previous conversation
- Message history preserved"
Story,Chat History Dropdown,"Users can access previous intake sessions from a dropdown menu.",High,EAGLE MVP - Acquisition Package Generation,Sprint 1: Core Demo (Feb 3-12),"p1,ui","- Dropdown shows previous sessions
- Sessions sorted by date
- Can select to resume
- Current session highlighted"
Story,Complex Acquisition Path,"Negotiated contracts ($250K+) with full document generation. Part 15 procedures with complete documentation package.",Highest,EAGLE MVP - Acquisition Package Generation,Sprint 2: Full MVP (Feb 12-28),"p0,uc-01","- Handles >$250K acquisitions
- Generates full package (AP, SOW, IGCE, J&A if needed)
- Part 15 guidance provided
- All required FAR clauses identified"
Story,Option Exercise Workflow (UC-03),"Ingest previous package files, understand context, and generate updated package for current year.",Highest,EAGLE MVP - Acquisition Package Generation,Sprint 2: Full MVP (Feb 12-28),"p0,uc-03","- Upload previous package files
- System parses and understands content
- Asks tuning/configuration questions
- Generates updated package with current year info"
